Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brillant Pierre-Luc P.Q.;D'Souza Jamie P.V.Q./G.P.Q.;Duverneau Sherlyne P.L.Q./Q.L.P.;Lemay Marie-France P.C.Q-E.E.D.;Marissal Vincent Q.S.;O'Connor Sandra C.A.Q.-E.F.L.;Racine Jean-François C.Q.;B.V.;B.R.
356;Rosemont;2022-10-03;G;BVA21: SV no 100, 108, 113, 124, 127, 136;;;;0;150;1;56;17;148;198;1;571;3
356;Rosemont;2022-10-03;G;BVA22: SV no 106 à 107, 110, 117, 125, 132;;;;0;138;6;57;25;125;166;3;520;3
356;Rosemont;2022-10-03;G;Vote en installation d'hébergement;;;;0;270;9;140;36;158;662;9;1284;27
356;Rosemont;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;19;1;11;1;10;33;0;75;1
356;Rosemont;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;148;3;70;35;250;134;3;643;2
356;Rosemont;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0
356;Rosemont;2022-10-03;G;Vote hors circonscription;;;;0;83;10;41;23;497;70;1;725;10
356;Rosemont;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;48;0;0;0;0;0;0;0;0;0
356;Rosemont;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;7;0;0;0;0;0;0;0;0;0
356;Rosemont;2022-10-03;G;Total de la circonscription;;;;52457;7527;452;4170;1605;13311;8157;158;35380;405
356;Rosemont;2022-10-03;G;Majorité en faveur de Vincent Marissal : 5154;;;;;;;;;;;;;
