Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charest Jean-Philippe P.V.Q./G.P.Q.;Fremont Herby P.C.Q./C.P.Q;Gratton Mathieu P.L.Q./Q.L.P.;Latreille Evelyne P.C.Q-E.E.D.;Lefrançois Claude Q.S.;Orihuela-Bouchard Soledad P.Q.;Parent Ian C.Q.;Poulet Isabelle C.A.Q.-E.F.L.;B.V.;B.R.
244;Laporte;2022-10-03;G;BVA23: SV no 120 à 125;;;;0;5;5;159;38;42;27;1;198;475;2
244;Laporte;2022-10-03;G;BVA24: SV no 126 à 130;;;;0;6;3;140;27;38;33;0;118;365;5
244;Laporte;2022-10-03;G;BVA25: SV no 131 à 136;;;;0;3;2;174;41;36;36;4;188;484;6
244;Laporte;2022-10-03;G;Vote en installation d'hébergement;;;;0;12;11;163;17;38;52;5;273;571;18
244;Laporte;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;5;0;20;3;4;7;1;29;69;0
244;Laporte;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;3;10;143;42;108;65;0;143;514;3
244;Laporte;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0
244;Laporte;2022-10-03;G;Vote hors circonscription;;;;0;11;5;86;23;244;55;3;101;528;18
244;Laporte;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;41;0;0;0;0;0;0;0;0;0;0
244;Laporte;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;5;0;0;0;0;0;0;0;0;0;0
244;Laporte;2022-10-03;G;Total de la circonscription;;;;53217;497;445;9707;2488;5968;4108;113;10361;33687;394
244;Laporte;2022-10-03;G;Majorité en faveur de Isabelle Poulet : 654;;;;;;;;;;;;;;
