Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benmoumene Mohamed P.V.Q./G.P.Q.;Lavallée Ian P.C.Q-E.E.D.;Leblanc Richard Jr Q.S.;Lecours Lucie C.A.Q.-E.F.L.;Ouellette Normand P.Q.;Stavrakakis Elizabeth P.L.Q./Q.L.P.;B.V.;B.R.
530;Les Plaines;2022-10-03;G;BVA10: SV no 58 à 63;;;;0;1;50;39;308;67;21;486;5
530;Les Plaines;2022-10-03;G;BVA11: SV no 64 à 70;;;;0;1;37;21;254;51;17;381;4
530;Les Plaines;2022-10-03;G;BVA12: SV no 71 à 77;;;;0;7;62;39;404;71;18;601;8
530;Les Plaines;2022-10-03;G;BVA13: SV no 78 à 84;;;;0;0;39;29;331;53;24;476;2
530;Les Plaines;2022-10-03;G;BVA14: SV no 85 à 90;;;;0;2;50;28;244;53;20;397;2
530;Les Plaines;2022-10-03;G;BVA15: SV no 91 à 96;;;;0;1;29;28;220;41;15;334;6
530;Les Plaines;2022-10-03;G;BVA16: SV no 97 à 102;;;;0;7;34;30;245;65;13;394;4
530;Les Plaines;2022-10-03;G;BVA17: SV no 103 à 110;;;;0;2;29;51;316;64;34;496;9
530;Les Plaines;2022-10-03;G;Vote en installation d'hébergement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0
530;Les Plaines;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;0;1;3;13;5;0;22;0
530;Les Plaines;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;0;35;27;171;39;20;292;4
530;Les Plaines;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0
530;Les Plaines;2022-10-03;G;Vote hors circonscription;;;;0;2;20;125;92;38;27;304;26
530;Les Plaines;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;11;0;0;0;0;0;0;0;0
530;Les Plaines;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;38;0;0;0;0;0;0;0;0
530;Les Plaines;2022-10-03;G;Total de la circonscription;;;;41484;282;3333;3668;13922;4444;1895;27544;494
530;Les Plaines;2022-10-03;G;Majorité en faveur de Lucie Lecours : 9478;;;;;;;;;;;;
