Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Awasti Deepak P.L.Q./Q.L.P.;Diotte Guy P.C.Q-E.E.D.;Fontecilla Andrés Q.S.;Khan Amir B.M.-E.B.H.;Larochelle Maxime P.Q.;Marcil Mathieu P.N.;Marcoux Vicki C.A.Q.-E.F.L.;Marega Ismaila P.V.Q./G.P.Q.;Van Duyse Anthony C.Q.;Villeneuve Amélie P.Cu.Q.;B.V.;B.R.
344;Laurier-Dorion;2022-10-03;G;Montréal, v;218;;97;388;19;4;91;0;14;0;15;4;0;2;149;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;218;;98;393;22;7;96;2;14;0;12;2;0;0;155;4
344;Laurier-Dorion;2022-10-03;G;Montréal, v;218;;99;394;11;5;76;2;13;0;10;5;0;0;122;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;219;;100;301;13;2;51;0;13;1;14;1;1;1;97;7
344;Laurier-Dorion;2022-10-03;G;Montréal, v;219;;101;285;22;10;61;2;15;0;8;3;0;0;121;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;219;;102;317;20;6;76;0;14;0;17;5;1;0;139;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;220;;103;370;17;6;78;2;13;1;10;4;0;0;131;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;220;;104;366;16;9;94;0;14;0;13;1;0;2;149;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;220;;105;377;12;4;97;1;21;1;13;1;2;3;155;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;220;;106;372;14;10;65;2;21;1;11;3;0;2;129;4
344;Laurier-Dorion;2022-10-03;G;Montréal, v;220;;107;370;18;14;77;2;21;1;18;2;1;1;155;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;221;;108;377;38;7;53;1;6;0;25;2;0;0;132;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;221;;109;377;53;4;32;1;20;1;20;1;0;2;134;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;221;;110;360;32;18;57;1;13;1;28;0;0;0;150;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;221;;111;368;36;14;70;2;20;1;24;1;1;2;171;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;221;;112;374;25;9;56;0;18;0;30;5;0;1;144;3
