Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Courtemanche Cindy D.D.;Daneau Luce P.C.Q-E.E.D.;Lamontagne André C.A.Q.-E.F.L.;Mongeau Nancy Q.S.;Poirier Jérémie P.Q.;Younoussa Mounirou P.L.Q./Q.L.P.;B.V.;B.R.
126;Johnson;2022-10-03;G;BVA20: SV no 92, 122, 126, 130, 134, 138, 142;;;;0;4;38;287;35;51;13;428;6
126;Johnson;2022-10-03;G;BVA21: SV no 93, 123, 127, 131, 135, 139, 143;;;;0;6;41;268;33;53;20;421;7
126;Johnson;2022-10-03;G;BVA22: SV no 94, 98, 102, 106, 110, 114;;;;0;2;57;217;31;35;14;356;2
126;Johnson;2022-10-03;G;BVA23: SV no 95, 99, 103, 107, 111, 115, 119;;;;0;1;47;263;41;44;13;409;7
126;Johnson;2022-10-03;G;BVA24: SV no 96, 100, 104, 108, 112, 116, 118;;;;0;3;48;210;53;39;14;367;2
126;Johnson;2022-10-03;G;BVA25: SV no 97, 101, 105, 109, 113, 117;;;;0;2;43;210;28;41;12;336;2
126;Johnson;2022-10-03;G;Vote en installation d'hébergement;;;;0;3;10;103;18;14;19;167;7
126;Johnson;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;0;1;37;0;6;1;45;0
126;Johnson;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;5;84;375;95;94;33;686;12
126;Johnson;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0
126;Johnson;2022-10-03;G;Vote hors circonscription;;;;0;2;30;128;226;65;34;485;28
126;Johnson;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;10;0;0;0;0;0;0;0;0
126;Johnson;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;28;0;0;0;0;0;0;0;0
126;Johnson;2022-10-03;G;Total de la circonscription;;;;62928;271;6323;21944;5769;6024;1469;41800;763
126;Johnson;2022-10-03;G;Majorité en faveur de André Lamontagne : 15621;;;;;;;;;;;;
