Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bigilimana Ange Claude P.C.Q-E.E.D.;Dufour Virginie P.L.Q./Q.L.P.;Jitaru Bianca P.V.Q./G.P.Q.;Lachance Michel P.Q.;Lajoie Guillaume Q.S.;Séide Julie C.A.Q.-E.F.L.;B.V.;B.R.
482;Mille-Îles;2022-10-03;G;BVA18: SV no 88 à 89, 93, 99, 105, 111;;;;0;29;124;2;39;34;203;431;4
482;Mille-Îles;2022-10-03;G;BVA19: SV no 84 à 85, 87, 90, 104, 110;;;;0;33;118;2;78;46;242;519;4
482;Mille-Îles;2022-10-03;G;Vote en installation d'hébergement;;;;0;4;16;2;6;5;32;65;4
482;Mille-Îles;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;0;3;0;11;2;15;31;2
482;Mille-Îles;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;85;299;10;153;117;493;1157;19
482;Mille-Îles;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0
482;Mille-Îles;2022-10-03;G;Vote hors circonscription;;;;0;24;83;11;41;176;69;404;7
482;Mille-Îles;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;10;0;0;0;0;0;0;0;0
482;Mille-Îles;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;10;0;0;0;0;0;0;0;0
482;Mille-Îles;2022-10-03;G;Total de la circonscription;;;;44453;3105;9522;346;3551;3789;9097;29410;363
482;Mille-Îles;2022-10-03;G;Majorité en faveur de Virginie Dufour : 425;;;;;;;;;;;;
