Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernier Stéphane P.C.Q-E.E.D.;Bonnardel François C.A.Q.-E.F.L.;Bouthillier Guy P.Q.;Lamarre Penny P.L.Q./Q.L.P.;Legault Anne-Sophie Q.S.;Paquin Jimmy E.A.;Wisniowski Andrzej P.V.Q./G.P.Q.;B.V.;B.R.
206;Granby;2022-10-03;G;BVA22: SV no 107, 114, 121, 128, 135, 138;;;;0;34;368;77;22;51;0;0;552;5
206;Granby;2022-10-03;G;BVA23: SV no 108, 115, 122, 129, 136, 139;;;;0;48;296;49;29;71;1;0;494;5
206;Granby;2022-10-03;G;Vote en installation d'hébergement;;;;0;32;731;59;79;48;4;4;957;28
206;Granby;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;4;38;9;1;2;0;1;55;0
206;Granby;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;98;808;138;60;195;1;15;1315;22
206;Granby;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0
206;Granby;2022-10-03;G;Vote hors circonscription;;;;0;13;78;27;9;167;1;2;297;7
206;Granby;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;11;0;0;0;0;0;0;0;0;0
206;Granby;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;14;0;0;0;0;0;0;0;0;0
206;Granby;2022-10-03;G;Total de la circonscription;;;;54933;3737;21515;4378;1758;5282;38;263;36971;458
206;Granby;2022-10-03;G;Majorité en faveur de François Bonnardel : 16233;;;;;;;;;;;;;
