Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Chenard Mathieu P.C.Q-E.E.D.;Duncan André P.Q.;Gagné Eloïse P.L.Q./Q.L.P.;Giguère André P51;Jacques François C.A.Q.-E.F.L.;Ouellet Marilyn Q.S.;B.V.;B.R.
104;Mégantic;2022-10-03;G;BVA15: SV no 51 à 55, 59, 75 à 78;;;;0;86;44;15;0;161;40;346;2
104;Mégantic;2022-10-03;G;BVA16: SV no 6 à 11, 26 à 29;;;;0;232;68;40;2;339;30;711;9
104;Mégantic;2022-10-03;G;Vote en installation d'hébergement;;;;0;12;11;30;2;182;14;251;10
104;Mégantic;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;12;6;9;0;54;5;86;6
104;Mégantic;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;111;79;24;0;287;170;671;10
104;Mégantic;2022-10-03;G;Vote hors circonscription;;;;0;30;31;11;0;51;114;237;5
104;Mégantic;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;12;0;0;0;0;0;0;0;0
104;Mégantic;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;8;0;0;0;0;0;0;0;0
104;Mégantic;2022-10-03;G;Total de la circonscription;;;;40481;6252;3588;1604;89;12973;3592;28098;397
104;Mégantic;2022-10-03;G;Majorité en faveur de François Jacques : 6721;;;;;;;;;;;;
