Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Ait Akil Sabrina P.C.Q-E.E.D.;Bastien Ophélie P.Q.;Beaumier Sarah C.A.Q.-E.F.L.;Cherniak David A P.N.;Goldberg Harrison Anne P.C.Q./C.P.Q;Guelmi Malik P.V.Q./G.P.Q.;Leblanc Isabelle Q.S.;Setlakwe Michelle P.L.Q./Q.L.P.;B.V.;B.R.
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;144;Regr. BVO-68;502;60;0;0;0;0;0;0;0;0;0;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;146;Regr. BVO-80;503;82;0;0;0;0;0;0;0;0;0;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;146;Regr. BVO-82;504;77;0;0;0;0;0;0;0;0;0;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;450;Regr. BVO-104;505;35;0;0;0;0;0;0;0;0;0;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;453;Regr. BVO-121;506;125;0;0;0;0;0;0;0;0;0;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;453;Regr. BVO-122;507;129;0;0;0;0;0;0;0;0;0;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;453;Regr. BVO-123;508;122;0;0;0;0;0;0;0;0;0;0
336;Mont-Royal-Outremont;2022-10-03;G;Montréal, v;144;Regr. BVO-76;509;84;0;0;0;0;0;0;0;0;0;0
336;Mont-Royal-Outremont;2022-10-03;G;BVA1: SV no 121, 123, 127, 130, 146;;;;0;15;80;80;0;2;13;108;82;380;1
336;Mont-Royal-Outremont;2022-10-03;G;BVA2: SV no 117, 125, 140, 142, 145;;;;0;6;62;50;1;1;6;57;56;239;7
336;Mont-Royal-Outremont;2022-10-03;G;BVA3: SV no 122, 131 à 132, 144, 147;;;;0;9;62;65;0;1;7;73;78;295;0
336;Mont-Royal-Outremont;2022-10-03;G;BVA4: SV no 124, 126, 128, 134, 136, 138;;;;0;12;106;79;1;2;15;187;71;473;10
336;Mont-Royal-Outremont;2022-10-03;G;BVA5: SV no 36, 119, 137, 139, 141, 143;;;;0;12;63;56;0;1;3;61;72;268;8
336;Mont-Royal-Outremont;2022-10-03;G;BVA6: SV no 37, 120, 129, 133, 135;;;;0;13;65;56;0;2;8;112;68;324;0
