Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bolduc Olivier Q.S.;Boutin Joëlle C.A.Q.-E.F.L.;Cardinal Julien C.Q.;Clavet Sébastien P.C.Q-E.E.D.;Coulombe Gabriel P.Q.;Dallaire Alexandre P.V.Q./G.P.Q.;Pouleur Stéphane E.A.;White Julie P.L.Q./Q.L.P.;B.V.;B.R.
702;Jean-Talon;2022-10-03;G;BVA21: SV no 97, 100, 106, 115, 117;;;;0;120;233;1;49;154;2;0;95;654;3
702;Jean-Talon;2022-10-03;G;Vote en installation d'hébergement;;;;0;90;688;9;46;184;10;1;281;1309;34
702;Jean-Talon;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;9;40;0;6;9;0;0;32;96;3
702;Jean-Talon;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;553;213;1;88;158;3;0;100;1116;9
702;Jean-Talon;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0
702;Jean-Talon;2022-10-03;G;Vote hors circonscription;;;;0;210;107;2;51;60;5;1;39;475;16
702;Jean-Talon;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;74;0;0;0;0;0;0;0;0;0;0
702;Jean-Talon;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;6;0;0;0;0;0;0;0;0;0;0
702;Jean-Talon;2022-10-03;G;Total de la circonscription;;;;46714;8117;11105;93;3541;6386;262;44;4616;34164;337
702;Jean-Talon;2022-10-03;G;Majorité en faveur de Joëlle Boutin : 2988;;;;;;;;;;;;;;
