Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arbour Melissa P.V.Q./G.P.Q.;Brazeau Cédric D.D.;Carrière Marc P.C.Q-E.E.D.;Chicoine Audrey-Ann P.Q.;Lacombe Mathieu C.A.Q.-E.F.L.;Latourelle Marie-Claude Q.S.;Semervil Wittlyn Kate P.L.Q./Q.L.P.;B.V.;B.R.
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;102B;230;2;0;14;3;26;11;6;62;0
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;103A;235;2;1;9;6;52;19;15;104;0
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;103B;210;1;0;8;11;52;15;10;97;0
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;104A;245;1;1;7;11;58;20;11;109;2
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;104B;215;2;0;22;10;48;15;15;112;0
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;105A;234;0;0;15;11;45;14;5;90;0
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;105B;222;0;0;9;7;51;12;10;89;1
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;106A;234;0;0;16;9;52;17;11;105;1
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;106B;228;8;0;18;14;43;14;6;103;2
626;Papineau;2022-10-03;G;L'Ange-Gardien, m;2;;107;404;6;0;41;21;72;21;18;179;4
626;Papineau;2022-10-03;G;Notre-Dame-de-la-Salette, m;1;;108;339;0;1;24;18;70;11;10;134;1
626;Papineau;2022-10-03;G;Notre-Dame-de-la-Salette, m;1;;109;364;3;0;21;18;77;14;12;145;2
626;Papineau;2022-10-03;G;Bowman, m;1;;110;291;0;0;30;14;57;4;4;109;2
626;Papineau;2022-10-03;G;Bowman, m;1;;111;254;2;0;5;8;51;2;3;71;0
626;Papineau;2022-10-03;G;Val-des-Bois, m;1;;112;393;1;0;30;10;66;4;6;117;3
626;Papineau;2022-10-03;G;Val-des-Bois, m;1;;113;398;1;2;22;15;70;8;5;123;3
626;Papineau;2022-10-03;G;Mulgrave-et-Derry, m;1;;114;186;3;2;24;7;41;15;13;105;1
626;Papineau;2022-10-03;G;Mulgrave-et-Derry, m;1;;115;149;0;0;29;1;12;4;20;66;0
626;Papineau;2022-10-03;G;Mayo, m;1;;116;251;4;1;15;6;22;16;33;97;0
626;Papineau;2022-10-03;G;Mayo, m;1;;117;277;1;0;24;18;41;9;16;109;0
626;Papineau;2022-10-03;G;Lochaber-Partie-Ouest, ct;1;;118;369;0;1;24;20;60;16;14;135;0
626;Papineau;2022-10-03;G;Lochaber-Partie-Ouest, ct;1;;119;367;1;0;32;17;64;17;11;142;0
626;Papineau;2022-10-03;G;Thurso, v;1;;120;377;1;0;24;26;56;19;5;131;0
626;Papineau;2022-10-03;G;Thurso, v;1;;121;395;3;0;27;11;49;7;6;103;2
626;Papineau;2022-10-03;G;Thurso, v;1;;122;417;1;1;30;14;56;18;7;127;2
626;Papineau;2022-10-03;G;Thurso, v;1;;123;402;1;1;13;19;57;11;7;109;1
626;Papineau;2022-10-03;G;Thurso, v;1;;124A;225;0;0;11;8;21;13;3;56;2
626;Papineau;2022-10-03;G;Thurso, v;1;;124B;230;3;0;12;8;44;11;8;86;1
626;Papineau;2022-10-03;G;Thurso, v;1;;125;391;0;1;29;16;61;21;8;136;3
626;Papineau;2022-10-03;G;Lochaber, ct;1;;126;365;4;0;37;15;62;20;10;148;2
626;Papineau;2022-10-03;G;Saint-Sixte, m;1;;127;412;2;4;14;31;116;34;11;212;4
626;Papineau;2022-10-03;G;Plaisance, m;1;;128;316;3;0;24;22;63;30;13;155;2
626;Papineau;2022-10-03;G;Plaisance, m;1;;129;329;6;0;18;24;99;20;12;179;1
626;Papineau;2022-10-03;G;Plaisance, m;1;;130;309;0;2;16;9;103;26;8;164;4
626;Papineau;2022-10-03;G;Papineauville, m;1;;131;387;1;0;29;21;71;56;12;190;1
626;Papineau;2022-10-03;G;Papineauville, m;1;;132A;198;0;0;8;13;49;6;2;78;4
626;Papineau;2022-10-03;G;Papineauville, m;1;;132B;233;0;0;11;10;46;23;2;92;0
626;Papineau;2022-10-03;G;Papineauville, m;1;;133;386;1;0;20;20;43;21;12;117;4
626;Papineau;2022-10-03;G;Papineauville, m;1;;134;346;1;0;20;7;69;20;8;125;1
626;Papineau;2022-10-03;G;Papineauville, m;1;;135;361;1;3;19;14;71;16;7;131;1
626;Papineau;2022-10-03;G;Montebello, m;1;;136;421;4;1;22;41;90;38;19;215;4
626;Papineau;2022-10-03;G;Montebello, m;1;;137;403;0;1;20;24;99;31;10;185;2
626;Papineau;2022-10-03;G;Fassett, m;1;;138;413;3;1;21;32;143;31;8;239;1
