Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boundjia Catherine P.L.Q./Q.L.P.;Cartwright Jenny P.N.;Da Costa Emmanuel P.C.Q-E.E.D.;Ghazal Ruba Q.S.;Langlois Véronique P.V.Q./G.P.Q.;Lavictoire Florence C.A.Q.-E.F.L.;Mercier-Ullhorn Sabrina P.Q.;B.V.;B.R.
350;Mercier;2022-10-03;G;BVA22: SV no 113 à 117;;;;0;10;1;7;194;6;48;50;316;1
350;Mercier;2022-10-03;G;Vote en installation d'hébergement;;;;0;48;1;7;35;3;86;39;219;13
350;Mercier;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;2;0;0;6;0;6;2;16;0
350;Mercier;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;62;2;29;373;22;57;82;627;4
350;Mercier;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0
350;Mercier;2022-10-03;G;Vote hors circonscription;;;;0;65;1;13;758;19;47;84;987;7
350;Mercier;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;116;0;0;0;0;0;0;0;0;0
350;Mercier;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;8;0;0;0;0;0;0;0;0;0
350;Mercier;2022-10-03;G;Total de la circonscription;;;;43387;3837;102;1051;14755;818;2814;3986;27363;238
350;Mercier;2022-10-03;G;Majorité en faveur de Ruba Ghazal : 10769;;;;;;;;;;;;;
