Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudoin Kim P.C.Q-E.E.D.;Daigneault Gary Ind;Daigneault Philippe Q.S.;Gagné-Lebrun Alexis P.Q.;Jaalouk Mustapha P.V.Q./G.P.Q.;Raiche Julie C.Q.;Soucy Chantal C.A.Q.-E.F.L.;Wnorowska Agnieszka P.L.Q./Q.L.P.;B.V.;B.R.
260;Saint-Hyacinthe;2022-10-03;G;Saint-Pie, v;1;;146;424;30;2;35;43;4;5;104;6;229;9
260;Saint-Hyacinthe;2022-10-03;G;Saint-Pie, v;1;;147;405;31;1;31;44;2;2;124;18;253;4
260;Saint-Hyacinthe;2022-10-03;G;Saint-Pie, v;1;;148;407;21;1;22;44;0;0;120;8;216;10
260;Saint-Hyacinthe;2022-10-03;G;Saint-Pie, v;1;;149;400;33;2;40;33;0;3;119;7;237;5
260;Saint-Hyacinthe;2022-10-03;G;Saint-Damase, m;1;;150;388;31;0;12;44;0;0;114;8;209;4
260;Saint-Hyacinthe;2022-10-03;G;Saint-Damase, m;1;;151;382;25;0;29;41;0;2;127;6;230;3
260;Saint-Hyacinthe;2022-10-03;G;Saint-Damase, m;1;;152;386;28;0;31;33;2;3;141;4;242;6
260;Saint-Hyacinthe;2022-10-03;G;Saint-Damase, m;1;;153;383;39;0;23;31;1;2;137;6;239;8
260;Saint-Hyacinthe;2022-10-03;G;Saint-Damase, m;1;;154;398;26;1;33;36;2;2;131;7;238;1
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;3;Regr. BVO-29;500;34;0;0;0;0;0;0;0;0;0;0
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;4;Regr. BVO-35;501;86;0;0;0;0;0;0;0;0;0;0
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;5;Regr. BVO-43;502;224;0;0;0;0;0;0;0;0;0;0
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;5;Regr. BVO-44;503;155;0;0;0;0;0;0;0;0;0;0
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;5;Regr. BVO-47;504;268;0;0;0;0;0;0;0;0;0;0
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;6;Regr. BVO-55;505;37;0;0;0;0;0;0;0;0;0;0
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;6;Regr. BVO-58;506;136;0;0;0;0;0;0;0;0;0;0
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;7;Regr. BVO-63;507;118;0;0;0;0;0;0;0;0;0;0
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;8;Regr. BVO-67;508;119;0;0;0;0;0;0;0;0;0;0
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;9;Regr. BVO-72;509;46;0;0;0;0;0;0;0;0;0;0
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;11;Regr. BVO-94;510;41;0;0;0;0;0;0;0;0;0;0
260;Saint-Hyacinthe;2022-10-03;G;Saint-Hyacinthe, v;11;Regr. BVO-101;511;137;0;0;0;0;0;0;0;0;0;0
260;Saint-Hyacinthe;2022-10-03;G;BVA1: SV no 1, 4, 7 à 8, 12, 25;;;;0;31;0;49;76;0;0;409;23;588;8
260;Saint-Hyacinthe;2022-10-03;G;BVA2: SV no 2, 5, 9 à 10, 26, 119;;;;0;29;0;38;66;2;1;374;13;523;2
260;Saint-Hyacinthe;2022-10-03;G;BVA3: SV no 3, 6, 11, 13, 29, 120;;;;0;29;0;25;60;0;0;358;27;499;1
260;Saint-Hyacinthe;2022-10-03;G;BVA4: SV no 14, 20, 28, 84, 143, 149;;;;0;40;0;30;81;1;2;289;11;454;6
260;Saint-Hyacinthe;2022-10-03;G;BVA5: SV no 15, 21, 30, 82, 144, 150;;;;0;18;0;53;76;0;1;271;17;436;8
260;Saint-Hyacinthe;2022-10-03;G;BVA6: SV no 16, 22, 79, 139, 145, 151;;;;0;27;1;40;44;2;1;253;10;378;10
260;Saint-Hyacinthe;2022-10-03;G;BVA7: SV no 17, 23, 80, 140, 146, 152;;;;0;25;0;31;66;2;0;255;16;395;2
260;Saint-Hyacinthe;2022-10-03;G;BVA8: SV no 18, 24, 81, 141, 147, 153;;;;0;23;0;27;61;1;2;288;15;417;0
260;Saint-Hyacinthe;2022-10-03;G;BVA9: SV no 19, 27, 83, 142, 148, 154;;;;0;21;0;41;95;2;1;316;18;494;4
260;Saint-Hyacinthe;2022-10-03;G;BVA10: SV no 31, 37, 43, 49 à 50, 62;;;;0;32;2;50;69;1;1;279;20;454;17
260;Saint-Hyacinthe;2022-10-03;G;BVA11: SV no 32, 38, 44, 52, 56, 65;;;;0;26;1;35;70;3;0;329;20;484;5
260;Saint-Hyacinthe;2022-10-03;G;BVA12: SV no 33, 39, 45, 51, 57, 67;;;;0;15;2;48;65;0;4;324;22;480;6
260;Saint-Hyacinthe;2022-10-03;G;BVA13: SV no 34, 40, 46, 55, 58, 68;;;;0;22;1;41;82;3;1;359;30;539;5
260;Saint-Hyacinthe;2022-10-03;G;BVA14: SV no 35, 41, 47, 53, 59, 69;;;;0;25;1;49;80;0;1;337;17;510;8
260;Saint-Hyacinthe;2022-10-03;G;BVA15: SV no 36, 42, 48, 54, 60, 70;;;;0;37;1;59;93;2;0;332;19;543;5
260;Saint-Hyacinthe;2022-10-03;G;BVA16: SV no 63, 72, 78, 90, 94, 98, 138;;;;0;25;0;44;85;2;3;300;15;474;5
260;Saint-Hyacinthe;2022-10-03;G;BVA17: SV no 64, 66, 73, 92, 95, 101, 137;;;;0;31;1;46;102;0;0;321;10;511;6
260;Saint-Hyacinthe;2022-10-03;G;BVA18: SV no 61, 76, 85, 89, 99, 133 à 134;;;;0;44;1;60;49;1;2;244;16;417;3
260;Saint-Hyacinthe;2022-10-03;G;BVA19: SV no 71, 77, 88, 91, 100, 135 à 136;;;;0;46;3;58;76;3;4;335;21;546;9
260;Saint-Hyacinthe;2022-10-03;G;BVA20: SV no 74 à 75, 87, 93, 96 à 97;;;;0;29;0;52;74;2;1;402;12;572;4
260;Saint-Hyacinthe;2022-10-03;G;BVA21: SV no 102, 107, 112, 117, 124, 129;;;;0;39;0;39;54;1;2;322;18;475;12
260;Saint-Hyacinthe;2022-10-03;G;BVA22: SV no 103, 108, 113, 118, 125, 130;;;;0;33;1;28;77;2;3;236;12;392;2
260;Saint-Hyacinthe;2022-10-03;G;BVA23: SV no 104, 109, 114, 121, 126, 131;;;;0;25;1;36;64;0;2;242;8;378;8
260;Saint-Hyacinthe;2022-10-03;G;BVA24: SV no 105, 110, 115, 122, 127, 132;;;;0;27;0;41;84;0;0;244;3;399;7
260;Saint-Hyacinthe;2022-10-03;G;BVA25: SV no 86, 106, 111, 116, 123, 128;;;;0;35;1;36;42;0;1;302;21;438;6
260;Saint-Hyacinthe;2022-10-03;G;Vote en installation d'hébergement;;;;0;20;8;38;60;4;7;647;81;865;24
260;Saint-Hyacinthe;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;2;1;2;6;1;1;49;10;72;1
260;Saint-Hyacinthe;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;65;3;200;115;5;0;384;41;813;20
260;Saint-Hyacinthe;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0
260;Saint-Hyacinthe;2022-10-03;G;Vote hors circonscription;;;;0;13;0;195;36;2;1;61;14;322;4
260;Saint-Hyacinthe;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;12;0;0;0;0;0;0;0;0;0;0
260;Saint-Hyacinthe;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;8;0;0;0;0;0;0;0;0;0;0
260;Saint-Hyacinthe;2022-10-03;G;Total de la circonscription;;;;59625;4066;142;5636;6900;217;168;22487;1705;41321;697
260;Saint-Hyacinthe;2022-10-03;G;Majorité en faveur de Chantal Soucy : 15587;;;;;;;;;;;;;;
