Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Almeida Ernesto P.C.Q-E.E.D.;Ano-Dumas Thomas P.L.Q./Q.L.P.;Lefebvre Martin Q.S.;Legault François C.A.Q.-E.F.L.;Provost Catherine P.Q.;B.V.;B.R.
554;L'Assomption;2022-10-03;G;BVA18: SV no 86 à 91;;;;0;38;11;44;315;50;458;5
554;L'Assomption;2022-10-03;G;BVA19: SV no 92 à 97;;;;0;10;12;16;216;56;310;1
554;L'Assomption;2022-10-03;G;BVA20: SV no 98 à 103;;;;0;31;12;55;320;62;480;4
554;L'Assomption;2022-10-03;G;BVA21: SV no 104 à 109;;;;0;59;16;51;320;67;513;5
554;L'Assomption;2022-10-03;G;BVA22: SV no 110 à 114;;;;0;26;3;37;392;77;535;1
554;L'Assomption;2022-10-03;G;Vote en installation d'hébergement;;;;0;3;25;10;252;16;306;12
554;L'Assomption;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;1;4;0;30;5;40;0
554;L'Assomption;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;34;19;91;299;51;494;2
554;L'Assomption;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0
554;L'Assomption;2022-10-03;G;Vote hors circonscription;;;;0;17;27;121;115;43;323;15
554;L'Assomption;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;8;0;0;0;0;0;0;0
554;L'Assomption;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;6;0;0;0;0;0;0;0
554;L'Assomption;2022-10-03;G;Total de la circonscription;;;;45587;2424;1806;4553;18637;4370;31790;462
554;L'Assomption;2022-10-03;G;Majorité en faveur de François Legault : 14084;;;;;;;;;;;
