Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barriault Jean-Sébastien C.A.Q.-E.F.L.;Bérubé Pascal P.Q.;Boucher Marie-Phare Q.S.;Leblanc Alexandre P.C.Q-E.E.D.;Lounsbury Harley Ryan P.L.Q./Q.L.P.;Rose Madeleine U.F.F.;B.V.;B.R.
842;Matane-Matapédia;2022-10-03;G;Sainte-Angèle-de-Mérici, m;1;;123;403;25;142;11;19;3;0;200;2
842;Matane-Matapédia;2022-10-03;G;Sainte-Jeanne-d'Arc, p;1;;124;240;5;85;8;17;1;3;119;1
842;Matane-Matapédia;2022-10-03;G;La Rédemption, p;1;;125;366;30;126;7;37;4;3;207;2
842;Matane-Matapédia;2022-10-03;G;Lac-des-Eaux-Mortes, no;1;Regr. BVO-125;126;1;0;0;0;0;0;0;0;0
842;Matane-Matapédia;2022-10-03;G;Saint-Charles-Garnier, p;1;;127;204;23;75;3;26;0;1;128;4
842;Matane-Matapédia;2022-10-03;G;Les Hauteurs, m;1;;128;366;16;146;10;26;2;1;201;0
842;Matane-Matapédia;2022-10-03;G;Saint-Gabriel-de-Rimouski, m;1;;129;310;13;88;8;26;0;2;137;1
842;Matane-Matapédia;2022-10-03;G;Saint-Gabriel-de-Rimouski, m;1;;130;307;16;70;13;23;0;0;122;1
842;Matane-Matapédia;2022-10-03;G;Saint-Gabriel-de-Rimouski, m;1;;131;308;18;90;18;19;4;1;150;2
842;Matane-Matapédia;2022-10-03;G;Saint-Donat, p;1;;132;373;30;120;26;13;7;0;196;3
842;Matane-Matapédia;2022-10-03;G;Saint-Donat, p;1;;133;374;24;134;27;18;8;1;212;1
842;Matane-Matapédia;2022-10-03;G;Sainte-Luce, m;1;;134;381;38;79;10;9;2;1;139;0
842;Matane-Matapédia;2022-10-03;G;Sainte-Luce, m;1;;135;383;23;101;11;14;3;0;152;3
842;Matane-Matapédia;2022-10-03;G;Sainte-Luce, m;1;;136;367;28;97;18;11;3;0;157;0
842;Matane-Matapédia;2022-10-03;G;Sainte-Luce, m;1;;137;382;31;93;18;6;2;0;150;5
842;Matane-Matapédia;2022-10-03;G;Sainte-Luce, m;1;;138;376;25;94;17;2;3;1;142;2
842;Matane-Matapédia;2022-10-03;G;Sainte-Luce, m;1;;139;372;26;90;21;11;1;0;149;0
842;Matane-Matapédia;2022-10-03;G;Rivière-Bonjour, no;1;Regr. BVO-10;140;0;0;0;0;0;0;0;0;0
842;Matane-Matapédia;2022-10-03;G;Matane, v;2;Regr. BVO-19;500;37;0;0;0;0;0;0;0;0
842;Matane-Matapédia;2022-10-03;G;Matane, v;2;Regr. BVO-22;501;258;0;0;0;0;0;0;0;0
842;Matane-Matapédia;2022-10-03;G;Matane, v;2;Regr. BVO-18;502;50;0;0;0;0;0;0;0;0
