Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélisle Marc-André P.V.Q./G.P.Q.;Bellerose-Simard Émile Q.S.;Bourret Gabriel P.L.Q./Q.L.P.;Handfield Stéphane P.Q.;Lemay Mathieu C.A.Q.-E.F.L.;Truchon François P.C.Q-E.E.D.;B.V.;B.R.
548;Masson;2022-10-03;G;BVA7: SV no 42 à 48;;;;0;5;29;20;60;268;39;421;8
548;Masson;2022-10-03;G;BVA8: SV no 49 à 55;;;;0;2;48;21;99;326;34;530;2
548;Masson;2022-10-03;G;BVA9: SV no 56 à 62;;;;0;1;47;22;98;324;31;523;2
548;Masson;2022-10-03;G;BVA10: SV no 63 à 69;;;;0;5;65;31;97;402;49;649;2
548;Masson;2022-10-03;G;BVA11: SV no 70 à 76;;;;0;4;52;32;113;443;26;670;7
548;Masson;2022-10-03;G;BVA12: SV no 77 à 83;;;;0;1;45;26;122;465;27;686;3
548;Masson;2022-10-03;G;BVA13: SV no 84 à 90;;;;0;8;43;43;120;468;54;736;6
548;Masson;2022-10-03;G;BVA14: SV no 91 à 97;;;;0;4;51;13;114;368;23;573;4
548;Masson;2022-10-03;G;BVA15: SV no 98 à 104;;;;0;1;41;17;100;382;32;573;8
548;Masson;2022-10-03;G;BVA16: SV no 105 à 111;;;;0;9;74;16;159;418;26;702;9
548;Masson;2022-10-03;G;BVA17: SV no 112 à 118;;;;0;3;46;20;94;307;44;514;1
548;Masson;2022-10-03;G;BVA18: SV no 119 à 125;;;;0;1;47;25;70;378;33;554;2
548;Masson;2022-10-03;G;Vote en installation d'hébergement;;;;0;8;18;69;57;631;11;794;20
548;Masson;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;0;0;0;5;22;1;28;0
548;Masson;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;3;56;42;114;387;59;661;5
548;Masson;2022-10-03;G;Vote hors circonscription;;;;0;10;190;28;59;154;25;466;14
548;Masson;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;10;0;0;0;0;0;0;0;0
548;Masson;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;7;0;0;0;0;0;0;0;0
548;Masson;2022-10-03;G;Total de la circonscription;;;;50194;332;4610;2723;6432;18195;2972;35264;453
548;Masson;2022-10-03;G;Majorité en faveur de Mathieu Lemay : 11763;;;;;;;;;;;;
