Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;De Martino Julie C.A.Q.-E.F.L.;Forget Marie-Josée Q.S.;Manfredi Giovanni P.C.Q./C.P.Q;Massey Laurence P.Q.;Rotiroti Filomena P.L.Q./Q.L.P.;Saad Chakib P.C.Q-E.E.D.;Szilagyi Alessandra P.V.Q./G.P.Q.;B.V.;B.R.
364;Jeanne-Mance-Viger;2022-10-03;G;BVA16: SV no 54, 61, 68, 75, 82, 89, 96;;;;0;77;23;3;27;135;22;6;293;6
364;Jeanne-Mance-Viger;2022-10-03;G;BVA17: SV no 55, 62, 69, 76, 83, 90;;;;0;78;15;3;19;133;24;3;275;7
364;Jeanne-Mance-Viger;2022-10-03;G;BVA18: SV no 56, 63, 70, 77, 84, 91;;;;0;72;22;3;10;126;24;2;259;7
364;Jeanne-Mance-Viger;2022-10-03;G;BVA19: SV no 57, 64, 71, 78, 85, 92;;;;0;87;27;1;30;92;25;1;263;3
364;Jeanne-Mance-Viger;2022-10-03;G;Vote en installation d'hébergement;;;;0;413;51;18;62;328;22;6;900;29
364;Jeanne-Mance-Viger;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;27;0;0;1;45;1;0;74;0
364;Jeanne-Mance-Viger;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;63;32;6;20;122;27;6;276;1
364;Jeanne-Mance-Viger;2022-10-03;G;Vote hors circonscription;;;;0;29;81;6;17;117;38;8;296;18
364;Jeanne-Mance-Viger;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;10;0;0;0;0;0;0;0;0;0
364;Jeanne-Mance-Viger;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;9;0;0;0;0;0;0;0;0;0
364;Jeanne-Mance-Viger;2022-10-03;G;Total de la circonscription;;;;49683;4455;2858;496;1122;14471;3113;319;26834;495
364;Jeanne-Mance-Viger;2022-10-03;G;Majorité en faveur de Filomena Rotiroti : 10016;;;;;;;;;;;;;
