Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Deschamps Fernand P.M.L.Q.;Desmarais Alexandre C.Q.;Kilbride Scott P.C.Q./C.P.Q;Koty Lucien P.C.Q-E.E.D.;Melançon Isabelle P.L.Q./Q.L.P.;Milette Marc-André P.N.;Pellerin Jannie P.V.Q./G.P.Q.;Rioux Alain A.F.C.;Tremblay Véronique C.A.Q.-E.F.L.;Valdivia Claudia P.Q.;Zaga Mendez Alejandra Q.S.;B.V.;B.R.
300;Verdun;2022-10-03;G;Montréal, v;460;;104;380;0;2;0;9;73;0;1;0;28;10;4;127;0
300;Verdun;2022-10-03;G;Montréal, v;460;;105;375;1;1;2;9;72;0;2;0;31;13;18;149;0
300;Verdun;2022-10-03;G;Montréal, v;461;;106;307;1;0;3;13;48;0;1;0;24;7;19;116;0
300;Verdun;2022-10-03;G;Montréal, v;461;;107;313;0;0;0;8;33;0;2;0;31;10;3;87;1
300;Verdun;2022-10-03;G;Montréal, v;461;;108;306;0;0;3;1;41;0;0;0;27;6;5;83;0
300;Verdun;2022-10-03;G;Montréal, v;461;;109;313;0;1;2;7;48;0;1;0;37;10;12;118;1
300;Verdun;2022-10-03;G;Montréal, v;462;;110;374;0;1;1;12;59;0;2;0;41;8;15;139;0
300;Verdun;2022-10-03;G;Montréal, v;462;;111;378;0;0;0;9;52;0;0;0;27;13;11;112;1
300;Verdun;2022-10-03;G;Montréal, v;462;;112;376;0;0;1;8;62;0;5;0;38;14;18;146;0
300;Verdun;2022-10-03;G;Montréal, v;462;;113;376;0;1;4;4;98;0;2;0;47;6;8;170;0
300;Verdun;2022-10-03;G;Montréal, v;462;;114;382;0;0;0;17;63;0;2;0;40;5;27;154;2
300;Verdun;2022-10-03;G;Montréal, v;462;;115;391;0;0;1;22;50;0;0;0;31;5;15;124;4
300;Verdun;2022-10-03;G;Montréal, v;462;;116;379;0;1;1;9;79;0;2;0;30;12;18;152;0
300;Verdun;2022-10-03;G;Montréal, v;462;;117;392;0;0;1;20;84;0;1;1;19;9;29;164;0
300;Verdun;2022-10-03;G;Montréal, v;462;;118;385;0;1;1;19;63;0;3;0;20;7;17;131;2
300;Verdun;2022-10-03;G;Montréal, v;462;;119;380;0;0;0;9;39;0;1;0;20;11;22;102;0
300;Verdun;2022-10-03;G;Montréal, v;463;;120;392;0;2;0;23;54;1;4;2;25;9;15;135;2
300;Verdun;2022-10-03;G;Montréal, v;463;;121;408;1;0;1;14;71;0;5;1;26;7;21;147;0
300;Verdun;2022-10-03;G;Montréal, v;463;;122;396;0;0;1;5;50;2;0;0;39;15;19;131;0
300;Verdun;2022-10-03;G;Montréal, v;463;;123;390;0;0;1;6;68;0;2;0;38;6;2;123;0
300;Verdun;2022-10-03;G;Montréal, v;463;;124;391;0;0;2;6;62;0;0;0;33;8;9;120;2
300;Verdun;2022-10-03;G;Montréal, v;463;;125;393;0;0;2;10;62;0;0;0;49;6;18;147;0
300;Verdun;2022-10-03;G;Montréal, v;463;;126;400;0;0;0;5;42;0;1;0;53;9;11;121;0
300;Verdun;2022-10-03;G;Montréal, v;463;;127;390;0;0;0;13;62;0;1;0;46;7;19;148;0
300;Verdun;2022-10-03;G;Montréal, v;463;;128;424;0;0;3;22;71;0;0;0;55;3;7;161;5
300;Verdun;2022-10-03;G;Montréal, v;69;Regr. BVO-4;500;26;0;0;0;0;0;0;0;0;0;0;0;0;0
300;Verdun;2022-10-03;G;Montréal, v;73;Regr. BVO-29;501;111;0;0;0;0;0;0;0;0;0;0;0;0;0
300;Verdun;2022-10-03;G;Montréal, v;77;Regr. BVO-55;502;16;0;0;0;0;0;0;0;0;0;0;0;0;0
300;Verdun;2022-10-03;G;Montréal, v;81;Regr. BVO-79;503;144;0;0;0;0;0;0;0;0;0;0;0;0;0
300;Verdun;2022-10-03;G;Montréal, v;82;Regr. BVO-87;504;77;0;0;0;0;0;0;0;0;0;0;0;0;0
300;Verdun;2022-10-03;G;Montréal, v;82;Regr. BVO-87;505;198;0;0;0;0;0;0;0;0;0;0;0;0;0
300;Verdun;2022-10-03;G;Montréal, v;457;Regr. BVO-94;506;236;0;0;0;0;0;0;0;0;0;0;0;0;0
300;Verdun;2022-10-03;G;Montréal, v;463;Regr. BVO-125;507;226;0;0;0;0;0;0;0;0;0;0;0;0;0
300;Verdun;2022-10-03;G;BVA1: SV no 1, 5, 13, 16 à 17, 22;;;;0;1;1;7;10;101;2;2;0;116;54;163;457;2
300;Verdun;2022-10-03;G;BVA2: SV no 2, 9, 12, 21, 27, 35;;;;0;0;0;7;18;122;1;1;1;105;31;187;473;5
300;Verdun;2022-10-03;G;BVA3: SV no 3, 7, 15, 18, 20, 36;;;;0;0;0;2;18;103;0;1;0;116;47;205;492;6
300;Verdun;2022-10-03;G;BVA4: SV no 4, 8, 11, 19, 23 à 24;;;;0;0;0;6;21;107;0;2;0;116;42;152;446;2
300;Verdun;2022-10-03;G;BVA5: SV no 6, 10, 14, 25 à 26, 34;;;;0;0;0;2;12;120;1;8;0;137;56;166;502;6
300;Verdun;2022-10-03;G;BVA6: SV no 28 à 29, 33, 37, 68, 72;;;;0;0;0;6;20;91;1;4;0;95;54;232;503;7
300;Verdun;2022-10-03;G;BVA7: SV no 32, 40 à 42, 46 à 47;;;;0;0;0;1;10;59;0;3;0;84;42;285;484;1
