Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchard Manon Q.S.;Bouvette-Turcot Andrée-Anne P.Q.;Boyer Pierre-Marc P.C.Q-E.E.D.;Carmant Lionel C.A.Q.-E.F.L.;Cissé Omar P.L.Q./Q.L.P.;Ouellet Frédéric C.Q.;Savignac Pierre U.F.F.;B.V.;B.R.
250;Taillon;2022-10-03;G;BVA24: SV no 79 à 83;;;;0;43;106;18;207;28;0;1;403;7
250;Taillon;2022-10-03;G;BVA25: SV no 118, 124 à 125, 127 à 129;;;;0;87;136;24;345;48;1;1;642;7
250;Taillon;2022-10-03;G;BVA26: SV no 116 à 117, 130 à 131, 133 à 134;;;;0;81;119;20;325;60;7;1;613;3
250;Taillon;2022-10-03;G;Vote en installation d'hébergement;;;;0;71;189;25;847;119;9;6;1266;28
250;Taillon;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;7;14;2;50;25;0;0;98;6
250;Taillon;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;183;149;39;269;69;3;1;713;7
250;Taillon;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0
250;Taillon;2022-10-03;G;Vote hors circonscription;;;;0;195;69;24;94;47;3;1;433;15
250;Taillon;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;32;0;0;0;0;0;0;0;0;0
250;Taillon;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;5;0;0;0;0;0;0;0;0;0
250;Taillon;2022-10-03;G;Total de la circonscription;;;;52762;6663;7160;2280;14635;4096;336;86;35256;441
250;Taillon;2022-10-03;G;Majorité en faveur de Lionel Carmant : 7475;;;;;;;;;;;;;
