Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Eappen Roy P.C.Q-E.E.D.;Eliadis Constantine P.C.Q./C.P.Q;Hoffman Rachel P.M.L.Q.;Holness Balarama B.M.-E.B.H.;Jenneau Cloé Rose P.Q.;Labelle Élisabeth Q.S.;Lemay Geneviève C.A.Q.-E.F.L.;McGraw Désirée P.L.Q./Q.L.P.;Tyrrell Alex P.V.Q./G.P.Q.;B.V.;B.R.
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;433;;124;336;4;4;1;10;2;30;3;47;7;108;2
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;433;;125;317;6;0;1;6;3;26;4;41;2;89;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;112;Regr. BVO-41;500;49;0;0;0;0;0;0;0;0;0;0;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;114;Regr. BVO-49;501;54;0;0;0;0;0;0;0;0;0;0;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;122;Regr. BVO-106;502;161;0;0;0;0;0;0;0;0;0;0;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;122;Regr. BVO-105;503;65;0;0;0;0;0;0;0;0;0;0;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;122;Regr. BVO-104;504;65;0;0;0;0;0;0;0;0;0;0;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal, v;433;Regr. BVO-124;505;96;0;0;0;0;0;0;0;0;0;0;0
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA1: SV no 1 à 6;;;;0;9;6;0;11;1;4;5;83;3;122;97
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA2: SV no 19 à 24;;;;0;33;6;0;22;9;9;11;150;7;247;1
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA3: SV no 25 à 29;;;;0;18;8;0;18;10;26;14;138;2;234;0
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA4: SV no 30 à 35;;;;0;21;14;0;18;21;28;29;220;6;357;6
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA5: SV no 48 à 53;;;;0;25;8;1;22;3;9;18;157;5;248;2
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA6: SV no 54 à 60;;;;0;25;7;0;12;10;52;17;158;11;292;1
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA7: SV no 7 à 12;;;;0;24;8;0;26;8;16;20;233;3;338;3
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA8: SV no 13 à 18;;;;0;14;9;0;12;11;29;19;147;8;249;0
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA9: SV no 36 à 41;;;;0;28;14;0;19;9;51;28;165;4;318;3
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA10: SV no 42 à 47;;;;0;20;7;1;18;11;37;22;135;10;261;4
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA11: SV no 61 à 66;;;;0;15;4;0;16;17;39;25;163;12;291;2
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA12: SV no 67 à 70, 79 à 80;;;;0;19;6;0;15;21;34;25;89;10;219;2
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA13: SV no 81 à 86;;;;0;13;2;0;15;42;90;40;162;6;370;3
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA14: SV no 87 à 92;;;;0;22;5;2;13;57;56;46;167;10;378;1
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA15: SV no 71 à 76;;;;0;19;8;0;26;6;32;24;120;5;240;0
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA16: SV no 77 à 78, 122 à 125;;;;0;6;2;0;8;11;49;18;80;15;189;0
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA17: SV no 93 à 98;;;;0;17;10;0;19;43;90;53;161;14;407;2
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA18: SV no 99 à 104;;;;0;15;1;1;13;45;54;44;105;5;283;0
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA19: SV no 105 à 110;;;;0;13;3;0;9;38;57;52;117;5;294;1
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA20: SV no 111 à 116;;;;0;10;4;1;12;26;64;28;120;8;273;0
324;Notre-Dame-de-Grâce;2022-10-03;G;BVA21: SV no 117 à 121;;;;0;19;3;0;13;26;33;23;120;5;242;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Vote en installation d'hébergement;;;;0;12;3;2;8;4;5;17;136;4;191;5
324;Notre-Dame-de-Grâce;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;2;7;2;2;14;10;42;54;1;134;4
324;Notre-Dame-de-Grâce;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;32;13;0;25;26;62;31;193;12;394;7
324;Notre-Dame-de-Grâce;2022-10-03;G;Vote hors circonscription;;;;0;20;13;2;24;19;249;18;190;34;569;4
324;Notre-Dame-de-Grâce;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;62;0;0;0;0;0;0;0;0;0;0;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;4;0;0;0;0;0;0;0;0;0;0;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Total de la circonscription;;;;46506;2087;723;71;1701;1302;3967;1877;12918;956;25602;332
324;Notre-Dame-de-Grâce;2022-10-03;G;Majorité en faveur de Désirée McGraw : 8951;;;;;;;;;;;;;;;
