Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bédard Jean P.M.L.Q.;Bélanger Annie-Pierre Q.S.;Berri Mustapha P.L.Q./Q.L.P.;Bouchard Mylene P.C.Q-E.E.D.;Lescarbeau Nicholas P.V.Q./G.P.Q.;Simard Jean-François C.A.Q.-E.F.L.;Therrien Cynthia P.Q.;B.V.;B.R.
742;Montmorency;2022-10-03;G;BVA21: SV no 118 à 123;;;;0;1;37;15;202;4;292;37;588;8
742;Montmorency;2022-10-03;G;BVA22: SV no 124 à 129;;;;0;1;34;19;227;1;359;56;697;6
742;Montmorency;2022-10-03;G;BVA23: SV no 130 à 135;;;;0;0;42;16;141;1;304;39;543;5
742;Montmorency;2022-10-03;G;BVA24: SV no 136 à 140;;;;0;0;51;16;260;2;225;41;595;1
742;Montmorency;2022-10-03;G;BVA25: SV no 141 à 145;;;;0;0;50;9;229;1;277;41;607;4
742;Montmorency;2022-10-03;G;BVA26: SV no 146 à 150;;;;0;0;43;13;269;1;219;38;583;3
742;Montmorency;2022-10-03;G;Vote en installation d'hébergement;;;;0;2;6;8;10;2;61;13;102;4
742;Montmorency;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;0;11;7;15;3;56;6;98;2
742;Montmorency;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;0;67;28;153;2;245;70;565;7
742;Montmorency;2022-10-03;G;Vote hors circonscription;;;;0;0;203;36;104;2;185;52;582;20
742;Montmorency;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;15;0;0;0;0;0;0;0;0;0
742;Montmorency;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;26;0;0;0;0;0;0;0;0;0
742;Montmorency;2022-10-03;G;Total de la circonscription;;;;57913;55;5100;1969;11031;274;19124;4773;42326;494
742;Montmorency;2022-10-03;G;Majorité en faveur de Jean-François Simard : 8093;;;;;;;;;;;;;
