Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bonnier Viger Yv Q.S.;Bouchard Pier-Luc P.C.Q-E.E.D.;Marin Michel P.L.Q./Q.L.P.;Perry Mélançon Méganne P.Q.;Sainte-Croix Stéphane C.A.Q.-E.F.L.;B.V.;B.R.
854;Gaspé;2022-10-03;G;BVA25: SV no 89 à 92;;;;0;13;11;15;113;174;326;2
854;Gaspé;2022-10-03;G;Vote en installation d'hébergement;;;;0;3;4;41;33;92;173;2
854;Gaspé;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;6;0;32;36;83;157;3
854;Gaspé;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;69;22;18;155;135;399;1
854;Gaspé;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0
854;Gaspé;2022-10-03;G;Vote hors circonscription;;;;0;103;8;10;76;31;228;11
854;Gaspé;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;4;0;0;0;0;0;0;0
854;Gaspé;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;14;0;0;0;0;0;0;0
854;Gaspé;2022-10-03;G;Total de la circonscription;;;;30190;1634;956;1255;6832;7542;18219;185
854;Gaspé;2022-10-03;G;Majorité en faveur de Stéphane Sainte-Croix : 710;;;;;;;;;;;
