Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dufour Jeanne P.V.Q./G.P.Q.;Gagnon Lucie P.L.Q./Q.L.P.;Henry Evans P.C.Q-E.E.D.;Lamouche Isadora C.Q.;Michelin Daniel P.Q.;Roy Nathalie C.A.Q.-E.F.L.;Veilleux Marie-Christine Q.S.;B.V.;B.R.
252;Montarville;2022-10-03;G;BVA19: SV no 87, 96, 103, 116, 124, 128;;;;0;4;80;27;2;98;331;82;624;3
252;Montarville;2022-10-03;G;BVA20: SV no 88, 92, 94, 99, 105, 110;;;;0;7;82;30;2;93;355;80;649;2
252;Montarville;2022-10-03;G;BVA21: SV no 104, 107, 113, 118, 123, 131;;;;0;6;108;21;3;100;305;73;616;4
252;Montarville;2022-10-03;G;BVA22: SV no 91, 97, 106, 117, 130;;;;0;3;66;23;2;81;228;75;478;4
252;Montarville;2022-10-03;G;BVA23: SV no 95, 111, 114, 121, 132;;;;0;2;73;33;2;90;265;49;514;5
252;Montarville;2022-10-03;G;Vote en installation d'hébergement;;;;0;4;173;16;4;110;589;29;925;26
252;Montarville;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;0;10;1;0;12;28;1;52;4
252;Montarville;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;14;130;56;3;249;701;147;1300;2
252;Montarville;2022-10-03;G;Vote hors circonscription;;;;0;19;78;30;5;79;179;420;810;13
252;Montarville;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;51;0;0;0;0;0;0;0;0;0
252;Montarville;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;0;0;0;0;0;0;0;0;0;0
252;Montarville;2022-10-03;G;Total de la circonscription;;;;53247;601;5090;2124;134;7753;19045;6741;41488;339
252;Montarville;2022-10-03;G;Majorité en faveur de Nathalie Roy : 11292;;;;;;;;;;;;;
