Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Gutierrez Marisa P.Q.;Kadri Matthieu P.C.Q-E.E.D.;Labrecque-Boivin Sabrina Q.S.;Lévesque Mathieu C.A.Q.-E.F.L.;Meunier Anne-Marie C.Q.;Ndengeyingoma Assumpta P.L.Q./Q.L.P.;Soublière Pierre P.M.L.Q.;B.V.;B.R.
620;Chapleau;2022-10-03;G;BVA22: SV no 18 à 19, 26, 55, 58;;;;0;31;30;30;273;2;36;1;403;6
620;Chapleau;2022-10-03;G;BVA23: SV no 21, 23, 25, 60, 63;;;;0;31;15;34;260;2;40;1;383;1
620;Chapleau;2022-10-03;G;BVA24: SV no 30, 34, 40, 42, 51;;;;0;15;14;9;131;4;26;0;199;0
620;Chapleau;2022-10-03;G;BVA25: SV no 124 à 125, 134 à 135, 144 à 145;;;;0;40;25;45;295;2;61;0;468;5
620;Chapleau;2022-10-03;G;Vote en installation d'hébergement;;;;0;41;22;21;486;13;137;3;723;18
620;Chapleau;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;6;5;5;98;3;26;1;144;1
620;Chapleau;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;56;51;91;276;3;57;4;538;6
620;Chapleau;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0
620;Chapleau;2022-10-03;G;Vote hors circonscription;;;;0;21;14;111;74;3;22;1;246;12
620;Chapleau;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;13;0;0;0;0;0;0;0;0;0
620;Chapleau;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;15;0;0;0;0;0;0;0;0;0
620;Chapleau;2022-10-03;G;Total de la circonscription;;;;53875;3033;3161;4129;16363;267;4259;72;31284;383
620;Chapleau;2022-10-03;G;Majorité en faveur de Mathieu Lévesque : 12104;;;;;;;;;;;;;
