Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cayouette-Guilloteau Valérie Q.S.;Drainville Bernard C.A.Q.-E.F.L.;Garon Richard P.L.Q./Q.L.P.;Laflamme Karine P.C.Q-E.E.D.;Lahlou Mehdi P.V.Q./G.P.Q.;Morel Pierre-Gilles P.Q.;Voyer André C.Q.;B.V.;B.R.
818;Lévis;2022-10-03;G;BVA24: SV no 116 à 120;;;;0;36;359;23;142;1;85;4;650;17
818;Lévis;2022-10-03;G;BVA25: SV no 121 à 125;;;;0;37;354;17;148;3;67;1;627;10
818;Lévis;2022-10-03;G;Vote en installation d'hébergement;;;;0;67;1159;200;129;4;133;8;1700;52
818;Lévis;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;3;24;7;6;1;5;0;46;2
818;Lévis;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;199;559;63;216;5;155;5;1202;9
818;Lévis;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0
818;Lévis;2022-10-03;G;Vote hors circonscription;;;;0;117;97;13;49;2;35;1;314;9
818;Lévis;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;23;0;0;0;0;0;0;0;0;0
818;Lévis;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;14;0;0;0;0;0;0;0;0;0
818;Lévis;2022-10-03;G;Total de la circonscription;;;;50875;4244;18051;1899;7677;213;4775;138;36997;511
818;Lévis;2022-10-03;G;Majorité en faveur de Bernard Drainville : 10374;;;;;;;;;;;;;
