Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bastarache Pascal P.Q.;Berthiaume Jean-Patrick Ind;Lavigne France Q.S.;Nzoula-Mendome Kévin P.L.Q./Q.L.P.;Parent Raoul U.F.F.;St-Georges Josée A.F.C.;Tardif Marie-Louise C.A.Q.-E.F.L.;Tremblay Pierre-David P.C.Q-E.E.D.;B.V.;B.R.
670;Laviolette-Saint-Maurice;2022-10-03;G;BVA25: SV no 104 à 107, 153;;;;0;93;0;23;28;0;2;303;78;527;3
670;Laviolette-Saint-Maurice;2022-10-03;G;Vote en installation d'hébergement;;;;0;112;10;40;144;4;6;758;43;1117;19
670;Laviolette-Saint-Maurice;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;12;3;4;7;0;0;45;4;75;0
670;Laviolette-Saint-Maurice;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;176;5;103;55;4;4;547;126;1020;10
670;Laviolette-Saint-Maurice;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0
670;Laviolette-Saint-Maurice;2022-10-03;G;Vote itinérant en région éloignée;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0
670;Laviolette-Saint-Maurice;2022-10-03;G;Vote hors circonscription;;;;0;46;0;113;18;0;3;61;44;285;8
670;Laviolette-Saint-Maurice;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;6;0;0;0;0;0;0;0;0;0;0
670;Laviolette-Saint-Maurice;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;24;0;0;0;0;0;0;0;0;0;0
670;Laviolette-Saint-Maurice;2022-10-03;G;Vote anticipé par correspondance;;Regr. VHC-1;;0;0;0;0;0;0;0;0;0;0;0
670;Laviolette-Saint-Maurice;2022-10-03;G;Total de la circonscription;;;;59400;6010;137;3568;1875;126;122;19418;6287;37543;497
670;Laviolette-Saint-Maurice;2022-10-03;G;Majorité en faveur de Marie-Louise Tardif : 13131;;;;;;;;;;;;;;
