Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blouin Catherine C.A.Q.-E.F.L.;Cyr Christian P.L.Q./Q.L.P.;Cyr Wright Catherine Q.S.;Deschênes Alexis P.Q.;Lauzon Anne-Marie U.F.F.;Rioux Jocelyn C.Q.;Therrien François P.C.Q-E.E.D.;B.V.;B.R.
850;Bonaventure;2022-10-03;G;BVA12: SV no 70 à 74;;;;0;328;31;22;141;3;0;23;548;8
850;Bonaventure;2022-10-03;G;BVA13: SV no 75 à 80;;;;0;228;30;31;113;2;1;20;425;7
850;Bonaventure;2022-10-03;G;BVA14: SV no 81 à 86;;;;0;289;51;25;156;1;1;18;541;2
850;Bonaventure;2022-10-03;G;BVA15: SV no 87 à 92;;;;0;232;24;16;90;1;0;14;377;5
850;Bonaventure;2022-10-03;G;BVA16: SV no 93 à 98;;;;0;409;36;27;128;2;2;20;624;4
850;Bonaventure;2022-10-03;G;BVA17: SV no 99 à 103;;;;0;245;29;20;124;0;1;9;428;3
850;Bonaventure;2022-10-03;G;Vote en installation d'hébergement;;;;0;132;64;7;32;2;5;13;255;3
850;Bonaventure;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;57;41;8;13;1;1;3;124;3
850;Bonaventure;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;195;29;49;153;0;1;16;443;4
850;Bonaventure;2022-10-03;G;Vote hors circonscription;;;;0;55;13;152;89;2;3;28;342;12
850;Bonaventure;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;8;0;0;0;0;0;0;0;0;0
850;Bonaventure;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;19;0;0;0;0;0;0;0;0;0
850;Bonaventure;2022-10-03;G;Total de la circonscription;;;;35960;9919;1911;2417;6708;82;57;1219;22313;257
850;Bonaventure;2022-10-03;G;Majorité en faveur de Catherine Blouin : 3211;;;;;;;;;;;;;
