Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bellemare Louis P.L.Q./Q.L.P.;Dionne Amélie C.A.Q.-E.F.L.;Lapointe-Gagnon Myriam Q.S.;Moreault Louise P.C.Q-E.E.D.;Rioux Félix P.Q.;Sierpien Carole C.Q.;B.V.;B.R.
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;BVA32: SV no 134 à 137;;;;0;0;19;1;4;3;0;27;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;BVA33: SV no 138 à 143;;;;0;1;46;5;12;12;0;76;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;BVA34: SV no 144 à 147;;;;0;7;173;19;25;28;0;252;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;BVA35: SV no 148 à 151;;;;0;6;98;12;20;26;0;162;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Vote en installation d'hébergement;;;;0;70;494;34;16;54;3;671;29
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;18;75;3;4;15;0;115;12
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;27;425;202;88;148;3;893;3
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Vote hors circonscription;;;;0;10;63;187;26;62;0;348;6
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;12;0;0;0;0;0;0;0;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;16;0;0;0;0;0;0;0;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Total de la circonscription;;;;51230;1388;18183;5102;3937;6141;174;34925;369
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Majorité en faveur de Amélie Dionne : 12042;;;;;;;;;;;;
