Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charest Isabelle C.A.Q.-E.F.L.;Fontaine Pierre D.D.;Houle Sébastien Ind;Legault Alexandre Q.S.;Moore Lynn P.C.Q./C.P.Q;Moynan Caitlin P.V.Q./G.P.Q.;Paquet Guillaume P.Q.;Prévost Stéphanie P.C.Q-E.E.D.;Quirion-Bouchard Tommy C.Q.;Vadeboncoeur Claude P.L.Q./Q.L.P.;B.V.;B.R.
204;Brome-Missisquoi;2022-10-03;G;BVA25: SV no 152, 155, 158, 161, 164, 177;;;;0;180;1;0;49;17;4;47;56;0;149;503;1
204;Brome-Missisquoi;2022-10-03;G;BVA26: SV no 153, 156, 159, 162, 165, 178;;;;0;184;0;0;58;9;7;61;34;0;135;488;0
204;Brome-Missisquoi;2022-10-03;G;BVA27: SV no 154, 157, 160, 163, 166;;;;0;153;0;2;26;18;5;42;33;1;166;446;3
204;Brome-Missisquoi;2022-10-03;G;BVA28: SV no 48, 168, 170, 172, 174, 176;;;;0;239;0;1;105;10;2;91;23;0;143;614;0
204;Brome-Missisquoi;2022-10-03;G;BVA29: SV no 167, 169, 171, 173, 175;;;;0;266;1;2;106;4;6;68;30;0;95;578;3
204;Brome-Missisquoi;2022-10-03;G;Vote en installation d'hébergement;;;;0;374;2;3;23;3;8;33;16;2;136;600;18
204;Brome-Missisquoi;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;50;0;0;10;5;6;12;10;1;23;117;8
204;Brome-Missisquoi;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;449;0;0;122;8;7;115;89;3;123;916;11
204;Brome-Missisquoi;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;0;0
204;Brome-Missisquoi;2022-10-03;G;Vote hors circonscription;;;;0;124;0;3;299;1;8;48;31;0;43;557;10
204;Brome-Missisquoi;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;44;0;0;0;0;0;0;0;0;0;0;0;0
204;Brome-Missisquoi;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;20;0;0;0;0;0;0;0;0;0;0;0;0
204;Brome-Missisquoi;2022-10-03;G;Total de la circonscription;;;;66769;20576;105;209;7138;642;487;5359;4875;121;5344;44856;537
204;Brome-Missisquoi;2022-10-03;G;Majorité en faveur de Isabelle Charest : 13438;;;;;;;;;;;;;;;;
